國文,英文,數學,社會,自然
14,6,12,11,10
11,15,6,6,15
12,9,11,10,15
10,8,13,8,15
9,13,12,14,8
15,6,15,9,7
13,7,9,8,15
6,9,9,12,9
11,12,15,12,14
7,8,15,13,7
12,6,8,7,6
7,12,7,15,9
13,13,10,13,9
12,8,14,13,15
8,13,8,8,8
15,8,13,11,15
8,6,12,6,6
7,12,10,11,6
9,10,10,12,11
6,15,15,14,10
12,8,11,14,13
12,12,10,14,13
12,10,15,7,14
15,8,10,10,12
9,13,15,7,14
9,13,13,11,10
9,11,8,8,10
12,8,14,13,6
14,15,14,7,8
7,6,14,13,13
11,9,9,6,8
9,15,15,15,10
13,7,12,15,8
8,10,15,7,11
9,11,10,15,9
13,10,13,10,7
13,12,7,13,9
13,12,10,8,10
14,6,12,8,7
15,15,11,10,7
7,10,7,9,6
7,15,15,7,11
6,15,9,10,9
8,10,13,15,15
15,10,10,9,7
9,8,7,15,15
6,12,10,11,6
6,13,6,7,14
12,13,7,10,14
9,9,14,6,10
10,14,6,11,7
6,15,12,9,10
15,12,6,9,12
8,12,13,12,15
7,9,15,9,12
6,13,7,6,10
8,15,6,9,11
13,6,6,15,10
8,10,9,14,9
12,9,11,14,9
9,12,12,9,9
9,14,7,9,12
12,9,8,8,15
9,10,6,8,15
8,7,12,15,13
10,11,12,7,9
11,9,9,8,12
8,10,14,13,9
10,9,14,10,13
15,12,14,11,15
11,11,12,11,11
10,8,14,8,12
10,14,11,13,13
12,7,7,10,7
11,11,14,14,12
9,9,14,10,11
9,8,15,7,15
15,6,14,10,11
10,8,14,14,9
14,10,7,11,9
10,8,6,14,14
7,15,14,12,9
6,11,15,13,9
9,6,11,6,13
10,6,9,7,13
6,6,12,11,10
7,6,15,10,9
15,14,9,9,7
15,13,10,7,15
11,9,13,9,7
14,10,15,14,9
13,11,9,7,9
15,6,9,11,14
8,14,11,9,15
15,12,9,8,11
12,14,12,7,15
8,8,13,15,9
7,8,10,13,15
8,12,8,12,12
11,11,11,12,12
